"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","18","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","18","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"3","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","20","Field comments are required","Documentation","CommentRequired"
"4","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","20","Field comments are required","Documentation","CommentRequired"
"5","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"6","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","Error Prone","BeanMembersShouldSerialize"
"7","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","22","Public method and constructor comments are required","Documentation","CommentRequired"
"8","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","22","Public method and constructor comments are required","Documentation","CommentRequired"
"9","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","22","The method 'init()' is missing an @Override annotation.","Best Practices","MissingOverride"
"10","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","22","The method 'init()' is missing an @Override annotation.","Best Practices","MissingOverride"
"11","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","23","Local variable 'jdbcURL' could be declared final","Code Style","LocalVariableCouldBeFinal"
"12","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","23","Local variable 'jdbcURL' could be declared final","Code Style","LocalVariableCouldBeFinal"
"13","net.codejava.javaee.empdb","src/net/codejava/javaee/empdb/ControllerServlet.java","3","23","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
